iter	MultiClass
0	1.384858806
1	1.384287158
2	1.383595856
3	1.383279204
4	1.382301467
5	1.381302223
6	1.380244829
7	1.379645015
8	1.379586623
9	1.379382605
10	1.378943476
11	1.378868581
12	1.378384333
13	1.377989837
14	1.377012072
15	1.376679954
16	1.376238766
17	1.375821363
18	1.374926518
19	1.374636984
20	1.374196526
21	1.374016289
22	1.373994549
23	1.373646073
24	1.37318688
25	1.373018306
26	1.372675328
27	1.371887151
28	1.371563186
29	1.371360586
30	1.370300491
31	1.370079158
32	1.370058587
33	1.369671599
34	1.369043539
35	1.36876237
36	1.36843844
37	1.367986031
38	1.367444279
39	1.367072736
40	1.36695915
41	1.366824361
42	1.366778267
43	1.366546799
44	1.366213467
45	1.365141593
46	1.364961944
47	1.364683123
48	1.364239214
49	1.36334192
50	1.36236452
51	1.361988669
52	1.361866199
53	1.361315832
54	1.361043375
55	1.36042238
56	1.360298876
57	1.360068859
58	1.359956266
59	1.359627581
60	1.35928574
61	1.359147744
62	1.359034808
63	1.35891853
64	1.358214162
65	1.357115073
66	1.356957666
67	1.356621609
68	1.356501411
69	1.356239965
70	1.356080788
71	1.355955809
72	1.355317517
73	1.354963425
74	1.354689752
75	1.353978786
76	1.353956744
77	1.353624927
78	1.353272575
79	1.353175182
80	1.352804543
81	1.352578085
82	1.352318009
83	1.351349723
84	1.350620168
85	1.349895319
86	1.349732455
87	1.349188737
88	1.348801354
89	1.348767304
90	1.348138211
91	1.347461063
92	1.347074098
93	1.346518645
94	1.346161506
95	1.345536123
96	1.344980434
97	1.344442126
98	1.343631372
99	1.343422129
