iter	Passed	Remaining
0	12	1269
1	24	1177
2	34	1117
3	43	1039
4	53	1011
5	64	1007
6	72	969
7	82	952
8	93	948
9	105	946
10	117	953
11	124	915
12	135	907
13	147	905
14	158	898
15	170	894
16	181	887
17	193	880
18	205	874
19	221	884
20	235	885
21	250	888
22	259	870
23	270	856
24	279	838
25	290	826
26	301	815
27	310	799
28	321	786
29	332	775
30	342	761
31	353	750
32	360	732
33	372	723
34	381	708
35	390	693
36	399	680
37	410	669
38	419	656
39	430	645
40	444	638
41	455	628
42	460	610
43	472	601
44	481	589
45	490	575
46	502	566
47	512	554
48	523	545
49	536	536
50	547	526
51	555	513
52	567	503
53	577	491
54	589	481
55	600	472
56	612	461
57	621	450
58	633	440
59	645	430
60	656	419
61	668	409
62	678	398
63	689	387
64	699	376
65	710	366
66	721	355
67	732	344
68	744	334
69	754	323
70	765	312
71	776	301
72	788	291
73	797	280
74	807	269
75	818	258
76	822	245
77	831	234
78	843	224
79	854	213
80	866	203
81	877	192
82	890	182
83	902	171
84	913	161
85	924	150
86	936	139
87	945	128
88	956	118
89	966	107
90	977	96
91	988	85
92	1002	75
93	1014	64
94	1025	53
95	1033	43
96	1044	32
97	1056	21
98	1066	10
99	1075	0
